Date,AU,GR,CA,JP,NZ,SW,SZ,UK,US
1998-07-31,-0.019658,0.013116,-0.025115,-0.043231,-0.010006,0.003940,0.014948,-0.017826,0.000000
1998-08-31,-0.058703,0.006707,-0.037464,0.018128,-0.031088,-0.020553,0.027505,0.025371,0.000000
1998-09-30,0.034764,0.053046,0.024988,0.032590,0.010518,0.031316,0.041295,0.016417,0.000000
1998-10-30,0.050675,0.007605,-0.013323,0.164191,0.058807,0.001577,0.019484,-0.013011,0.000000
1998-11-30,0.010183,-0.021908,0.011735,-0.056429,-0.003678,-0.037256,-0.030503,-0.012584,0.000000
1998-12-31,-0.025525,0.013576,-0.004901,0.084967,-0.001800,-0.000956,0.009457,0.009022,0.000000
1999-01-29,0.023986,-0.034570,0.016544,-0.034226,0.020067,0.037331,-0.035273,-0.011518,0.000000
1999-02-26,-0.011823,-0.034874,0.000854,-0.023407,-0.027911,-0.050895,-0.023415,-0.024114,0.000000
1999-03-31,0.016755,-0.018032,-0.001813,-0.002446,0.016855,-0.002539,-0.024165,0.008385,0.000000
1999-04-30,0.049474,-0.021374,0.039010,-0.011851,0.049091,-0.024065,-0.030779,-0.002577,0.000000
1999-05-31,-0.021323,-0.016283,-0.013951,-0.024030,-0.045654,-0.025082,-0.005447,-0.003923,0.000000
1999-06-30,0.020560,-0.012889,-0.002234,0.002451,-0.008210,0.011625,-0.021858,-0.016305,0.000000
1999-07-30,-0.013732,0.035588,-0.014262,0.050289,0.000186,0.034953,0.038102,0.027367,0.000000
1999-08-31,-0.024739,-0.015359,0.005419,0.042125,-0.025737,-0.008929,-0.018323,-0.007433,0.000000
1999-09-30,0.024350,0.006069,0.015427,0.025755,-0.000890,0.005470,0.005497,0.023909,0.000000
1999-10-29,-0.024198,-0.015685,-0.001540,0.015826,-0.020430,-0.006794,-0.018641,-0.003613,0.000000
1999-11-30,-0.002898,-0.044353,-0.002164,0.016365,0.006065,-0.032970,-0.045875,-0.029555,0.000000
1999-12-31,0.028297,-0.006967,0.013644,-0.007081,0.022398,-0.007413,-0.010065,0.011185,0.000000
2000-01-31,-0.025722,-0.026424,0.000924,-0.048595,-0.051167,-0.030937,-0.030059,0.005567,0.000000
2000-02-29,-0.037752,-0.018170,-0.002071,-0.030386,-0.019935,0.001150,-0.017999,-0.026158,0.000000
2000-03-31,-0.012078,-0.007995,-0.001136,0.066444,0.022871,0.013636,-0.000111,0.010800,0.000000
2000-04-28,-0.039299,-0.049779,-0.020977,-0.055393,-0.021376,-0.036644,-0.036471,-0.019140,0.000000
2000-05-31,-0.022525,0.015593,-0.011480,-0.001916,-0.060878,-0.008486,0.012429,-0.045083,0.000000
